,N,x,xmobile,logQ,dlogQ_2.50,mu_2.50,ddxdmu_2.50,dxdmu_2.50,dxmobile,dxmobdmu_2.50,V_2.50,x_2.50,xmobile_2.50,S_2.50,dS_2.50,dx,dSmob_2.50,dSmobvib_2.50,dH_2.50,dG_2.50,min_amp_2.50,max_amp_2.50,total_amp_2.50
0,0,0.0,0.0,0.0,5.6562739204522489394,-4.242814003962758092,-0.79970928807720039464,0.24762671829599391904,1.0,0.24762671829599391904,4.242814003962758092,0.0,0.0,0.0,46.955717447095676884,1.0,46.955717447095676884,46.955717447095676884,-395.61129308899675808,-409.3693183009957914,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
1,1,0.005,0.005,5.2923764849500960885,4.9284790494479432375,-4.2244380729075354883,-0.65588045393141100907,0.30192908694012058794,1.0,0.30192908694012058794,4.2244380729075354883,0.005,0.005,0.22026323375902676897,41.149576056515030708,1.0,41.149576056515030708,41.149576056515030708,-395.53948470553672212,-407.59631049009562612,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
2,2,0.01,0.01,9.856958098895886475,4.3445130125894269213,-4.2096936441413698744,-0.4826120241763540951,0.41032833140729968436,1.0000000000000004,0.41032833140729986658,4.2096936441413698744,0.01,0.01,0.4114957605651503071,36.539263145834013677,1.0000000000000004,36.539263145834029903,36.539263145834029903,-395.46768528192480258,-406.17368938365416858,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
3,3,0.015,0.015,13.981402510128949931,3.9632550010952350473,-4.2000673452863081588,-0.33569001227511146277,0.5899174218954411601,1.0000000000000004,0.5899174218954414221,4.2000673452863081588,0.015,0.015,0.58565586521736679885,33.61429566633491726,1.0000000000000004,33.61429566633493219,33.61429566633493219,-395.3959041112890937,-405.24489274152522444,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
4,4,0.02,0.02,17.78346810108635657,3.6731329880392039958,-4.192742119014565886,-0.26379440200093924877,0.7506959400779007447,1.0,0.7506959400779007447,4.192742119014565886,0.02,0.02,0.7476387172284994028,31.447010165931295951,1.0,31.447010165931295951,31.447010165931295951,-395.32414187321506727,-404.53811585183293698,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
5,5,0.025,0.025,21.327668486207357923,3.4356661970933565498,-4.1867463727511932277,-0.22023122113169510579,0.89918852367877496746,1.0000000000000004,0.8991885236787753668,4.1867463727511932277,0.025,0.025,0.90012596687667984776,29.717457366940876681,1.0000000000000004,29.717457366940889879,29.717457366940889879,-395.25239927378306407,-403.95961428229674092,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
6,6,0.03,0.03,24.654800495273069669,3.2326705457758137842,-4.1816209806362780554,-0.1908108909259727641,1.0378306271533027079,0.9999999999999996,1.037830627153302247,4.1816209806362780554,0.03,0.03,1.044813290897908103,28.27444394327552011,0.9999999999999996,28.274443943275507553,28.274443943275507553,-395.18067704645783728,-403.46508912183756468,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
7,7,0.035,0.035,27.793009577758985491,3.0540444152414110215,-4.177110889139161749,-0.16954713521151763963,1.1679901659814672044,1.0000000000000004,1.1679901659814677231,4.177110889139161749,0.035,0.035,1.1828704063094351492,27.033977791336809171,1.0000000000000004,27.033977791336821177,27.033977791336821177,-395.10897595297943122,-403.02993144584111632,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
8,8,0.04,0.04,30.762889325755891712,2.893576275352778505,-4.1730592647149826425,-0.15343847399698144372,1.2906110275919358573,1.0000000000000004,1.2906110275919364304,4.1730592647149826425,0.04,0.04,1.3151530688112761625,25.944410694174257666,1.0000000000000004,25.944410694174269188,25.944410694174269188,-395.037296784250609,-402.6390091176436665,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
9,9,0.045,0.045,33.5801621284645425,2.747167467247448134,-4.169362621236431733,-0.14080378777369674049,1.4064208763734423052,1.0,1.4064208763734423052,4.169362621236431733,0.045,0.045,1.4423145132511775783,24.971661715587637267,1.0,24.971661715587637267,24.971661715587637267,-394.9656403612146875,-402.2823372438818652,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
10,10,0.05,0.05,36.25722426025078798,2.611968699805385024,-4.1659490175848449545,-0.13062481943402503475,1.5160165384756905945,1.0,1.5160165384756905945,4.1659490175848449545,0.05,0.05,1.5648696859671526602,24.092037631779027504,1.0,24.092037631779027504,24.092037631779027504,-394.89400753571698144,-401.9529745618282365,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
11,11,0.055,0.055,38.80409952807531255,2.4859178283793980646,-4.1627663871280263575,-0.12224748592675158815,1.6199055963902461185,1.0,1.6199055963902461185,4.1627663871280263575,0.055,0.055,1.6832348895689677893,23.288389808330936734,1.0,23.288389808330936734,23.288389808330936734,-394.82239919134195522,-401.6458974051829197,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
12,12,0.06,0.06,41.22905991700958411,2.3674737279518818477,-4.159775818342689282,-0.11523188057958508833,1.718529504173225987,1.0,1.718529504173225987,4.159775818342689282,0.06,0.06,1.7977535840504618951,22.547901496524595494,1.0,22.547901496524595494,22.547901496524595494,-394.7508162442165515,-401.35735138269825797,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
13,13,0.065,0.065,43.539046983979076244,2.255454067220227888,-4.1569474588083691756,-0.10927098493931330751,1.8122778586407352302,1.0,1.8122778586407352302,4.1569474588083691756,0.065,0.065,1.908713904534213891,21.860739009904155111,1.0,21.860739009904155111,21.860739009904155111,-394.6792596437691887,-401.08445617367110617,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
14,14,0.07,0.07,45.739968051450039885,2.1489317580732552326,-4.154257900683252494,-0.10414388472541331789,1.9014979815618437167,0.9999999999999991,1.9014979815618420279,4.154257900683252494,0.07,0.07,2.0163609741495036327,21.219190755214151156,0.9999999999999991,21.21919075521413231,21.21919075521413231,-394.60773037343209665,-400.82495326470984295,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
15,15,0.075,0.075,47.83691050012558671,2.0471662977694012522,-4.151688447178082697,-0.09968749460810776529,1.9865017911813049052,1.0,1.9865017911813049052,4.151688447178082697,0.075,0.075,2.1209058120863553234,20.617096377544841382,1.0,20.617096377544841382,20.617096377544841382,-394.5362294512728117,-400.57703868989345025,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
16,16,0.08,0.08,49.83430064698884239,1.949556768857039702,-4.1492239258615870473,-0.0957787606444361686,2.0675709861452082486,1.0,2.0675709861452082486,4.1492239258615870473,0.08,0.08,2.2225319379249519171,20.049455978200745862,1.0,20.049455978200745862,20.049455978200745862,-394.46475793053867273,-400.33924853215149126,-4.5420153865755742775,4.7308945643617750787,9.272909950937349356
