,N,x,xmobile,logQ,dlogQ_-2.50,mu_-2.50,ddxdmu_-2.50,dxdmu_-2.50,dxmobile,dxmobdmu_-2.50,V_-2.50,x_-2.50,xmobile_-2.50,S_-2.50,dS_-2.50,dx,dSmob_-2.50,dSmobvib_-2.50,dH_-2.50,dG_-2.50,min_amp_-2.50,max_amp_-2.50,total_amp_-2.50
0,0,0.0,0.0,0.0,5.6621034940177984874,-4.242961193570970174,-0.78760790468575077425,0.25143143614892347323,1.0,0.25143143614892347323,4.242961193570970174,0.0,0.0,0.0,46.956890804124344862,1.0,46.956890804124344862,46.956890804124344862,-395.6251509336204963,-409.38351993922892935,-11.321596173824640341,11.321596173824706177,22.643192347649346519
1,1,0.005,0.005,5.3042582481459390545,4.9464130022740796216,-4.224890883299323406,-0.6437730788016869574,0.30760743671666537227,1.0,0.30760743671666537227,4.224890883299323406,0.005,0.005,0.22026323375902676897,41.14840269948636273,1.0,41.14840269948636273,41.14840269948636273,-395.583518060185728,-407.64000005113523228,-11.321596173824640341,11.321596173824706177,22.643192347649346519
2,2,0.01,0.01,9.892826004548159243,4.3745573364144245726,-4.2104522266008025575,-0.47049544494673020906,0.4208954384665801868,1.0000000000000004,0.42089543846658037372,4.2104522266008025575,0.01,0.01,0.4114840269948636273,36.535607977705439695,1.0000000000000004,36.535607977705455922,36.535607977705455922,-395.54194832672618445,-406.2468814641938783,-11.321596173824640341,11.321596173824706177,22.643192347649346519
3,3,0.015,0.015,14.0533729209747882,4.0054221123806192035,-4.2011320133138649706,-0.32356056362197948596,0.61203190024339110796,1.0000000000000004,0.61203190024339137977,4.2011320133138649706,0.015,0.015,0.58561931353608105905,33.607873241166988543,1.0000000000000004,33.60787324116700347,33.60787324116700347,-395.50051073010098157,-405.3476175897629092,-11.321596173824640341,11.321596173824706177,22.643192347649346519
4,4,0.02,0.02,17.90367022930939765,3.7274362091704656007,-4.1941132089841991937,-0.25165113578693180246,0.78692029733197961793,1.0,0.78692029733197961793,4.1941132089841991937,0.02,0.02,0.7475627594065334358,31.43750261628000199,1.0,31.43750261628000199,31.43750261628000199,-395.45921765635106726,-404.67040592292110784,-11.321596173824640341,11.321596173824706177,22.643192347649346519
5,5,0.025,0.025,21.508245339315719401,3.5021198408067555985,-4.1884242460420020105,-0.20807309997125694669,0.9517298806272332815,1.0000000000000004,0.9517298806272337042,4.1884242460420020105,0.025,0.025,0.8999943396988811683,29.7045102944261745,1.0000000000000004,29.704510294426187691,29.704510294426187691,-395.4180829277509155,-404.12150444401778462,-11.321596173824640341,11.321596173824706177,22.643192347649346519
6,6,0.03,0.03,24.907909910922908847,3.3112900092279517073,-4.1836060260076496447,-0.17863677789075533804,1.1085588809628378476,0.9999999999999996,1.1085588809628373553,4.1836060260076496447,0.03,0.03,1.0446078623507951142,28.257661717305890957,0.9999999999999996,28.257661717305878408,28.257661717305878408,-395.37712200059945708,-403.65661688377008312,-11.321596173824640341,11.321596173824706177,22.643192347649346519
7,7,0.035,0.035,28.130825357771622816,3.1448462850252449224,-4.179403525382297847,-0.15735578213080178784,1.2584817914906430469,1.0000000000000004,1.2584817914906436058,4.179403525382297847,0.035,0.035,1.1825709568719401782,27.012918159720005214,1.0000000000000004,27.01291815972001721,27.01291815972001721,-395.33635219439533365,-403.25113721519329518,-11.321596173824640341,11.321596173824706177,22.643192347649346519
8,8,0.04,0.04,31.197602480973398692,2.9965784449663481316,-4.17565994361884112,-0.141228508132890734,1.4021913083656206184,1.0000000000000004,1.402191308365621241,4.17565994361884112,0.04,0.04,1.3147370439479951342,25.918578591898046026,1.0000000000000004,25.918578591898057536,25.918578591898057536,-395.29579295799702723,-402.88993648542315473,-11.321596173824640341,11.321596173824706177,22.643192347649346519
9,9,0.045,0.045,34.12398224770431908,2.8623892687594634544,-4.172271830912121809,-0.12857369661232115202,1.5402013927816530953,1.0,1.5402013927816530953,4.172271830912121809,0.045,0.045,1.4417567427909204912,24.94050213714346105,1.0,24.94050213714346105,24.94050213714346105,-395.2554661794681137,-402.5630333056511478,-11.321596173824640341,11.321596173824706177,22.643192347649346519
