,N,x,xmobile,logQ,dlogQ_0.00,mu_0.00,ddxdmu_0.00,dxdmu_0.00,dxmobile,dxmobdmu_0.00,V_0.00,x_0.00,xmobile_0.00,S_0.00,dS_0.00,dx,dSmob_0.00,dSmobvib_0.00,dH_0.00,dG_0.00,min_amp_0.00,max_amp_0.00,total_amp_0.00
0,0,0.0,0.0,0.0,5.6591975276042918363,-4.2428878214704087856,-0.79367574238372364014,0.24950918369083803801,1.0,0.24950918369083803801,4.2428878214704087856,0.0,0.0,0.0,46.956230855169414955,1.0,46.956230855169414955,46.956230855169414955,-395.61826496717319218,-409.37644060773783075,-8.12452307116638639,8.124523071165858534,16.249046142332244924
1,1,0.005,0.005,5.298317366548017572,4.9374372054917433075,-4.2246642553998847948,-0.6498449018413734171,0.3047333079574140507,1.0,0.3047333079574140507,4.2246642553998847948,0.005,0.005,0.220263233759026769,41.149062648441292644,1.0,41.149062648441292644,41.149062648441292644,-395.56145842699666007,-407.6181337829899588,-8.12452307116638639,8.124523071165858534,16.249046142332244924
2,2,0.01,0.01,9.874874410983486615,4.359507723921545002,-4.2100722422774789384,-0.47657340773213008756,0.4155275627730577919,1.0000000000000004,0.41552756277305797643,4.2100722422774789384,0.01,0.01,0.41149062648441292643,36.53767402151897633,1.0000000000000004,36.537674021518992556,36.537674021518992556,-395.50468006225207412,-406.21021855055713418,-8.12452307116638639,8.124523071165858534,16.249046142332244924
3,3,0.015,0.015,14.017332814391107576,3.9842903900274831324,-4.200598463149512359,-0.32964716034709446433,0.60073135891379201147,1.0000000000000004,0.60073135891379227824,4.200598463149512359,0.015,0.015,0.5856399739742164254,33.61152865072475646,1.0000000000000004,33.611528650724771385,33.611528650724771385,-395.44795993028965148,-405.2961378249520051,-8.12452307116638639,8.124523071165858534,16.249046142332244924
4,4,0.02,0.02,17.84345519103845288,3.7002134032273560735,-4.1934258664031090263,-0.25774708064965107246,0.7683089410683140351,1.0,0.7683089410683140351,4.1934258664031090263,0.02,0.02,0.7476059129916604141,31.442953915188270587,1.0,31.442953915188270587,31.442953915188270587,-395.39130194855338926,-404.60408744570355255,-8.12452307116638639,8.124523071165858534,16.249046142332244924
5,5,0.025,0.025,21.417759620845819723,3.4687962287281809875,-4.18758286556178254,-0.21417918062233749625,0.9245968073179264601,1.0000000000000004,0.92459680731792687067,4.18758286556178254,0.025,0.025,0.9000695131260992206,29.711990486263395374,1.0000000000000004,29.711990486263408568,29.711990486263408568,-395.3347103564683056,-404.04032356894348044,-8.12452307116638639,8.124523071165858534,16.249046142332244924
6,6,0.03,0.03,24.781047648494814855,3.271855041982681081,-4.182610341278154254,-0.1847538644642859342,1.0718551797094509871,0.9999999999999996,1.0718551797094505112,4.182610341278154254,0.03,0.03,1.0447258178542943012,28.267434011465516278,0.9999999999999996,28.267434011465503725,28.267434011465503725,-395.27818974659727685,-403.5605479119566731,-8.12452307116638639,8.124523071165858534,16.249046142332244924
7,7,0.035,0.035,27.961469704811181885,3.099288499799609119,-4.1782532469814900873,-0.16348483756273620273,1.2113012408345838826,1.0000000000000004,1.2113012408345844204,4.1782532469814900873,0.035,0.035,1.1827438532407544837,27.025280281271755453,1.0000000000000004,27.025280281271767454,27.025280281271767454,-395.22174509924684507,-403.14015222165946942,-8.12452307116638639,8.124523071165858534,16.249046142332244924
8,8,0.04,0.04,30.979624648094033093,2.9448853668572086755,-4.1743547565706623156,-0.1473705999756861171,1.3437509695288921558,1.0000000000000004,1.3437509695288927526,4.1743547565706623156,0.04,0.04,1.3149786206670118236,25.933867776964049039,1.0000000000000004,25.933867776964060555,25.933867776964060555,-395.16538182094881526,-402.76400507959928163,-8.12452307116638639,8.124523071165858534,16.249046142332244924
9,9,0.045,0.045,33.851240438525599236,2.8045472998482368849,-4.170811391885745735,-0.1347300105909549693,1.4698238776111055448,1.0,1.4698238776111055448,4.170811391885745735,0.045,0.045,1.4420825310103948266,24.95910093463056073,1.0,24.95910093463056073,24.95910093463056073,-395.10910578730167728,-402.42212236114843157,-8.12452307116638639,8.124523071165858534,16.249046142332244924
10,10,0.05,0.05,36.588719247790506862,2.675425345675298737,-4.1675512203427348377,-0.12454478888663831184,1.5900254708981097733,1.0,1.5900254708981097733,4.1675512203427348377,0.05,0.05,1.5645696300133175558,24.077270431148548133,1.0,24.077270431148548133,24.077270431148548133,-395.05292339072228433,-402.10756362704880892,-8.12452307116638639,8.124523071165858534,16.249046142332244924
11,11,0.055,0.055,39.20209112987619671,2.5554577220749602612,-4.164522184459180674,-0.116160826411656697456,1.704786309763293595,1.0,1.704786309763293595,4.164522184459180674,0.055,0.055,1.6828552353218802438,23.271209897894326604,1.0,23.271209897894326604,23.271209897894326604,-394.99684159373389342,-401.81530609381693112,-8.12452307116638639,8.124523071165858534,16.249046142332244924
12,12,0.06,0.06,41.699634691940427385,2.443103692851985342,-4.161685382529086228,-0.109138188914461850554,1.8144829831525816064,1.0,1.8144829831525816064,4.161685382529086228,0.06,0.06,1.7972817289922606896,22.528083033878932281,1.0,22.528083033878932281,22.528083033878932281,-394.94086798850306597,-401.54159631742959313,-8.12452307116638639,8.124523071165858534,16.249046142332244924
13,13,0.065,0.065,44.088298515580167394,2.33718134424603656,-4.159010972674419014,-0.10316982796821435198,1.9194505845099764177,1.0,1.9194505845099764177,4.159010972674419014,0.065,0.065,1.9081360656606697133,21.838034576572769002,1.0,21.838034576572769002,21.838034576572769002,-394.88501086343788793,-401.28355499437370923,-8.12452307116638639,8.124523071165858534,16.249046142332244924
